end_date,answer,pct
March-20,Biden,45.4
March-20,Biden,47
March-20,Biden,47
March-20,Biden,46
March-20,Biden,52
March-20,Biden,49
March-20,Biden,45
March-20,Biden,48
March-20,Biden,40
March-20,Biden,45
March-20,Biden,48
March-20,Biden,50
March-20,Biden,47
March-20,Biden,44.1
March-20,Biden,39
March-20,Biden,44
March-20,Biden,45
March-20,Biden,46
March-20,Biden,44
March-20,Biden,48
March-20,Biden,48
March-20,Biden,52
March-20,Biden,48
March-20,Biden,33
March-20,Biden,44.34
March-20,Biden,43.77
March-20,Biden,43.07
March-20,Biden,49.4
March-20,Biden,53
March-20,Biden,57
March-20,Biden,38
March-20,Biden,41
March-20,Biden,49
March-20,Biden,52
March-20,Biden,48
March-20,Biden,62.1
March-20,Biden,42.8
March-20,Biden,43.1
March-20,Biden,33
February-20,Biden,49
February-20,Biden,48.1
February-20,Biden,59
February-20,Biden,41
February-20,Biden,55
February-20,Biden,41.8
February-20,Biden,45
February-20,Biden,50
February-20,Biden,42
February-20,Biden,46
February-20,Biden,49
February-20,Biden,45
February-20,Biden,49
February-20,Biden,60
February-20,Biden,48
February-20,Biden,43
February-20,Biden,44
February-20,Biden,57.8
February-20,Biden,43.2
February-20,Biden,46.5
February-20,Biden,44
February-20,Biden,46
February-20,Biden,47
February-20,Biden,46.8
February-20,Biden,51.2
February-20,Biden,33.9
February-20,Biden,43.7
February-20,Biden,55
February-20,Biden,47
February-20,Biden,46
February-20,Biden,47
February-20,Biden,45
February-20,Biden,46
February-20,Biden,46
February-20,Biden,60
February-20,Biden,48.2
February-20,Biden,47
February-20,Biden,50
February-20,Biden,42
February-20,Biden,49
February-20,Biden,48
February-20,Biden,43
February-20,Biden,47
February-20,Biden,42
February-20,Biden,42
February-20,Biden,52
February-20,Biden,52
February-20,Biden,52
February-20,Biden,48
February-20,Biden,45
February-20,Biden,50
February-20,Biden,49
February-20,Biden,57
February-20,Biden,52
February-20,Biden,53
February-20,Biden,42
February-20,Biden,59.9
February-20,Biden,34
February-20,Biden,43.5
February-20,Biden,44
February-20,Biden,50
February-20,Biden,45
February-20,Biden,43
February-20,Biden,38
February-20,Biden,43
February-20,Biden,45
February-20,Biden,40
February-20,Biden,45.8
February-20,Biden,46
February-20,Biden,34
February-20,Biden,38
January-20,Biden,39
January-20,Biden,49
January-20,Biden,42
January-20,Biden,44
January-20,Biden,50
January-20,Biden,49
January-20,Biden,47
January-20,Biden,45
January-20,Biden,50.4
January-20,Biden,51
January-20,Biden,50
January-20,Biden,44
January-20,Biden,51
January-20,Biden,43
January-20,Biden,50
January-20,Biden,31
January-20,Biden,55.9
January-20,Biden,40
January-20,Biden,53
January-20,Biden,46
January-20,Biden,46
January-20,Biden,46
January-20,Biden,50
January-20,Biden,59
January-20,Biden,47
January-20,Biden,50
January-20,Biden,51.4
January-20,Biden,49
January-20,Biden,46
January-20,Biden,45
January-20,Biden,48
January-20,Biden,31
January-20,Biden,38
January-20,Biden,47
January-20,Biden,46
January-20,Biden,50.1
January-20,Biden,54.3
January-20,Biden,46
January-20,Biden,46
January-20,Biden,51.7
December-19,Biden,46
December-19,Biden,44
December-19,Biden,39
December-19,Biden,37
December-19,Biden,51.6
December-19,Biden,49
December-19,Biden,47
December-19,Biden,49
December-19,Biden,40.6
December-19,Biden,50
December-19,Biden,48
December-19,Biden,47
December-19,Biden,49
December-19,Biden,48
December-19,Biden,45
December-19,Biden,51
December-19,Biden,47
December-19,Biden,45
December-19,Biden,56
December-19,Biden,47
December-19,Biden,39.08
December-19,Biden,40.87
December-19,Biden,41.24
December-19,Biden,44
November-19,Biden,52.3
November-19,Biden,45.9
November-19,Biden,59
November-19,Biden,59
November-19,Biden,52
November-19,Biden,53
November-19,Biden,51
November-19,Biden,44
November-19,Biden,49.3
November-19,Biden,47
November-19,Biden,51
November-19,Biden,44
November-19,Biden,39.4
November-19,Biden,45
November-19,Biden,47
