end_date,answer,pct
March-20,Sanders,40.5
March-20,Sanders,45
March-20,Sanders,45
March-20,Sanders,43
March-20,Sanders,49
March-20,Sanders,48
March-20,Sanders,42
March-20,Sanders,48
March-20,Sanders,40
March-20,Sanders,45
March-20,Sanders,49
March-20,Sanders,48
March-20,Sanders,47
March-20,Sanders,45.5
March-20,Sanders,40
March-20,Sanders,43
March-20,Sanders,43
March-20,Sanders,43
March-20,Sanders,46
March-20,Sanders,46
March-20,Sanders,49
March-20,Sanders,47
March-20,Sanders,30
March-20,Sanders,41.17
March-20,Sanders,42.4
March-20,Sanders,42.33
March-20,Sanders,47.3
March-20,Sanders,52
March-20,Sanders,56
March-20,Sanders,33
March-20,Sanders,41
March-20,Sanders,38
March-20,Sanders,52
March-20,Sanders,46
March-20,Sanders,60
March-20,Sanders,42.5
March-20,Sanders,40.9
March-20,Sanders,33
February-20,Sanders,49
February-20,Sanders,43.2
February-20,Sanders,59
February-20,Sanders,36
February-20,Sanders,54
February-20,Sanders,42.4
February-20,Sanders,44
February-20,Sanders,48
February-20,Sanders,37
February-20,Sanders,47
February-20,Sanders,48
February-20,Sanders,45
February-20,Sanders,49
February-20,Sanders,59
February-20,Sanders,46
February-20,Sanders,45
February-20,Sanders,44
February-20,Sanders,43
February-20,Sanders,58.9
February-20,Sanders,47
February-20,Sanders,44.7
February-20,Sanders,46
February-20,Sanders,48
February-20,Sanders,47
February-20,Sanders,49.1
February-20,Sanders,48.8
February-20,Sanders,34.3
February-20,Sanders,51.9
February-20,Sanders,56
February-20,Sanders,49
February-20,Sanders,47
February-20,Sanders,48
February-20,Sanders,46
February-20,Sanders,47
February-20,Sanders,48
February-20,Sanders,61
February-20,Sanders,50.6
February-20,Sanders,48
February-20,Sanders,48
February-20,Sanders,43
February-20,Sanders,48
February-20,Sanders,49
February-20,Sanders,46
February-20,Sanders,45
February-20,Sanders,45
February-20,Sanders,43
February-20,Sanders,50
February-20,Sanders,53
February-20,Sanders,51
February-20,Sanders,50
February-20,Sanders,50
February-20,Sanders,46
February-20,Sanders,48
February-20,Sanders,50
February-20,Sanders,58
February-20,Sanders,52
February-20,Sanders,53
February-20,Sanders,44
February-20,Sanders,61.4
February-20,Sanders,34
February-20,Sanders,43.7
February-20,Sanders,45
February-20,Sanders,51
February-20,Sanders,45
February-20,Sanders,45
February-20,Sanders,37
February-20,Sanders,43
February-20,Sanders,45
February-20,Sanders,40
February-20,Sanders,47.2
February-20,Sanders,46
February-20,Sanders,32
February-20,Sanders,35
January-20,Sanders,37
January-20,Sanders,47
January-20,Sanders,39
January-20,Sanders,42
January-20,Sanders,49
January-20,Sanders,47
January-20,Sanders,46
January-20,Sanders,51.4
January-20,Sanders,52
January-20,Sanders,49
January-20,Sanders,42
January-20,Sanders,51
January-20,Sanders,48
January-20,Sanders,31
January-20,Sanders,47.1
January-20,Sanders,40
January-20,Sanders,52
January-20,Sanders,45
January-20,Sanders,47
January-20,Sanders,47
January-20,Sanders,45
January-20,Sanders,45
January-20,Sanders,52
January-20,Sanders,59
January-20,Sanders,47
January-20,Sanders,50
January-20,Sanders,52.9
January-20,Sanders,47
January-20,Sanders,46
January-20,Sanders,48
January-20,Sanders,29
January-20,Sanders,37
January-20,Sanders,46
January-20,Sanders,46
January-20,Sanders,49
January-20,Sanders,58.8
January-20,Sanders,44
January-20,Sanders,46
January-20,Sanders,52.3
December-19,Sanders,44
December-19,Sanders,42
December-19,Sanders,40
December-19,Sanders,39
December-19,Sanders,52.1
December-19,Sanders,45
December-19,Sanders,44
December-19,Sanders,49
December-19,Sanders,38.6
December-19,Sanders,47
December-19,Sanders,46
December-19,Sanders,45
December-19,Sanders,45
December-19,Sanders,49
December-19,Sanders,42.5
December-19,Sanders,51
December-19,Sanders,43
December-19,Sanders,45
December-19,Sanders,54
December-19,Sanders,45
December-19,Sanders,37.62
