Tulsi Gabbard,Mike Bloomberg,Elizabeth Warren,Bernie Sanders,Joe Biden
0.1336153,14.81019,71.80868,6.342677,15.00582
1.45238,15.80948,12.22444,31.95549,11.78431
0.5007385,14.66554,13.54068,31.00906,39.87773
0.4754461,8.921845,12.31683,21.03629,10.40755
0.9401805,18.2115,14.26629,53.00931,19.98027
1.259858,16.51083,14.57488,26.29035,25.42851
0.3559774,15.77756,13.37171,28.20008,28.93069
0.1996169,17.9494,12.28665,24.67178,20.58867
0.8218016,13.73272,9.951208,26.16055,16.23294
1.167117,17.80132,14.04572,35.6975,30.57166
1.090409,15.12852,13.60607,22.08598,20.96608
0.9463709,23.44231,11.41106,31.13945,32.88473
0.238304,10.17052,12.11652,22.55801,16.7366
0.8710518,18.89544,11.29816,27.02919,17.2487
1.197617,18.7716,6.308772,34.0683,19.01943
1.275704,12.08611,12.05725,30.249,8.750566
0.1336153,15.14799,28.20707,9.806301,26.50791
0.3066742,14.52176,10.11314,15.41836,38.65053
0.3566316,15.06821,5.912613,23.91665,17.98204
0.3339758,17.19041,13.99366,26.211,19.95888
1.278494,14.65489,12.51125,30.83828,18.10304
0.4261018,15.92173,20.57987,24.43757,21.59727
0.0590277,23.98387,9.264742,25.2042,21.66729
0.6808529,9.232441,14.19633,31.09096,19.02097
0.7721773,15.84471,5.185854,37.5004,20.25543
1.00856,14.73241,8.787165,27.73221,27.38848
0.7463201,21.01414,9.267992,24.32172,27.70438
2.333371,15.95916,7.238306,16.70748,25.00219
