start_date,end_date,answer,pct
3/14/20,3/16/20,Sanders,40.5
3/14/20,3/16/20,Trump,48.4
3/14/20,3/16/20,Biden,45.4
3/14/20,3/16/20,Trump,44.9
3/13/20,3/15/20,Biden,47
3/13/20,3/15/20,Trump,43
3/13/20,3/15/20,Sanders,45
3/13/20,3/15/20,Trump,45
3/10/20,3/15/20,Biden,47
3/10/20,3/15/20,Trump,46
3/10/20,3/15/20,Sanders,45
3/10/20,3/15/20,Trump,48
3/11/20,3/14/20,Biden,46
3/11/20,3/14/20,Trump,43
3/11/20,3/14/20,Sanders,43
3/11/20,3/14/20,Trump,44
3/11/20,3/13/20,Biden,52
3/11/20,3/13/20,Trump,43
3/11/20,3/13/20,Sanders,49
3/11/20,3/13/20,Trump,45
3/10/20,3/13/20,Biden,49
3/10/20,3/13/20,Trump,45
3/10/20,3/13/20,Sanders,48
3/10/20,3/13/20,Trump,46
3/6/20,3/12/20,Biden,45
3/6/20,3/12/20,Trump,48
3/6/20,3/12/20,Sanders,42
3/6/20,3/12/20,Trump,49
3/10/20,3/11/20,Biden,48
3/10/20,3/11/20,Trump,45
3/10/20,3/11/20,Sanders,48
3/10/20,3/11/20,Trump,46
3/10/20,3/11/20,Biden,40
3/10/20,3/11/20,Trump,52
3/10/20,3/11/20,Sanders,40
3/10/20,3/11/20,Trump,52
3/10/20,3/11/20,Biden,45
3/10/20,3/11/20,Trump,41
3/10/20,3/11/20,Sanders,45
3/10/20,3/11/20,Trump,42
3/8/20,3/11/20,Sanders,49
3/8/20,3/11/20,Trump,46
3/8/20,3/11/20,Biden,48
3/8/20,3/11/20,Trump,46
3/6/20,3/11/20,Biden,50
3/6/20,3/11/20,Trump,42
3/6/20,3/11/20,Sanders,48
3/6/20,3/11/20,Trump,43
3/8/20,3/10/20,Biden,47
3/8/20,3/10/20,Trump,43
3/8/20,3/10/20,Sanders,47
3/8/20,3/10/20,Trump,43
3/7/20,3/9/20,Sanders,45.5
3/7/20,3/9/20,Trump,43.4
3/7/20,3/9/20,Biden,44.1
3/7/20,3/9/20,Trump,45.5
3/6/20,3/9/20,Biden,39
3/6/20,3/9/20,Trump,39
3/6/20,3/9/20,Biden,44
3/6/20,3/9/20,Trump,42
3/6/20,3/9/20,Sanders,40
3/6/20,3/9/20,Trump,39
3/6/20,3/9/20,Sanders,43
3/6/20,3/9/20,Trump,42
3/6/20,3/8/20,Biden,45
3/6/20,3/8/20,Trump,41
3/6/20,3/8/20,Sanders,43
3/6/20,3/8/20,Trump,42
3/6/20,3/8/20,Biden,46
3/6/20,3/8/20,Trump,40
3/6/20,3/8/20,Sanders,43
3/6/20,3/8/20,Trump,41
3/6/20,3/8/20,Biden,44
3/6/20,3/8/20,Trump,42
3/6/20,3/8/20,Sanders,46
3/6/20,3/8/20,Trump,40
3/5/20,3/8/20,Biden,48
3/5/20,3/8/20,Trump,42
3/5/20,3/8/20,Sanders,46
3/5/20,3/8/20,Trump,41
3/5/20,3/8/20,Biden,48
3/5/20,3/8/20,Trump,41
3/5/20,3/8/20,Biden,52
3/5/20,3/8/20,Trump,41
3/5/20,3/8/20,Sanders,49
3/5/20,3/8/20,Trump,42
3/5/20,3/8/20,Biden,48
3/5/20,3/8/20,Trump,41
3/5/20,3/8/20,Sanders,47
3/5/20,3/8/20,Trump,41
3/5/20,3/8/20,Biden,33
3/5/20,3/8/20,Trump,57
3/5/20,3/8/20,Sanders,30
3/5/20,3/8/20,Trump,59
3/5/20,3/7/20,Biden,44.34
3/5/20,3/7/20,Trump,46.49
3/5/20,3/7/20,Sanders,41.17
3/5/20,3/7/20,Trump,47.64
3/5/20,3/7/20,Biden,43.77
3/5/20,3/7/20,Trump,45.44
3/5/20,3/7/20,Sanders,42.4
3/5/20,3/7/20,Trump,46.14
3/5/20,3/7/20,Biden,43.07
3/5/20,3/7/20,Trump,44.56
3/5/20,3/7/20,Sanders,42.33
3/5/20,3/7/20,Trump,48.26
